Closed,StockExchange,Ticker,Time
82,hnx,IDC,2021-12-20T00:00:00.000Z
50,hnx,IDJ,2021-12-20T00:00:00.000Z
31.35,hose,IJC,2021-12-20T00:00:00.000Z
12.7,upcom,ILA,2021-12-20T00:00:00.000Z
75.2,hose,IMP,2021-12-20T00:00:00.000Z
68.3,hnx,IPA,2021-12-20T00:00:00.000Z
16.9,hose,ITA,2021-12-20T00:00:00.000Z
10.2,hnx,ITQ,2021-12-20T00:00:00.000Z
19.3,hnx,IVS,2021-12-20T00:00:00.000Z
56,hose,KBC,2021-12-20T00:00:00.000Z
55.5,hose,KDC,2021-12-20T00:00:00.000Z
50,hose,KDH,2021-12-20T00:00:00.000Z
8,upcom,KHB,2021-12-20T00:00:00.000Z
23.7,upcom,KLB,2021-12-20T00:00:00.000Z
8.5,hnx,KLF,2021-12-20T00:00:00.000Z
31.75,hose,KOS,2021-12-20T00:00:00.000Z
70.5,hnx,KSF,2021-12-20T00:00:00.000Z
5.1,upcom,KSH,2021-12-20T00:00:00.000Z
8.8,hnx,KSQ,2021-12-20T00:00:00.000Z
7.9,hnx,KVC,2021-12-20T00:00:00.000Z
26.3,hnx,LAS,2021-12-20T00:00:00.000Z
17.1,hnx,LIG,2021-12-20T00:00:00.000Z
9.1,upcom,LMH,2021-12-20T00:00:00.000Z
21.6,hose,LPB,2021-12-20T00:00:00.000Z
14,upcom,LPT,2021-12-20T00:00:00.000Z
37.2,upcom,LTG,2021-12-20T00:00:00.000Z
9.4,hnx,MAC,2021-12-20T00:00:00.000Z
27.9,hose,MBB,2021-12-20T00:00:00.000Z
16.1,hnx,MBG,2021-12-20T00:00:00.000Z
40.6,hnx,MBS,2021-12-20T00:00:00.000Z
8.6,hnx,MCO,2021-12-20T00:00:00.000Z
36.7,upcom,MLS,2021-12-20T00:00:00.000Z
42.7,upcom,MPC,2021-12-20T00:00:00.000Z
26.2,hose,MSB,2021-12-20T00:00:00.000Z
162,hose,MSN,2021-12-20T00:00:00.000Z
28.6,upcom,MSR,2021-12-20T00:00:00.000Z
19,hnx,MST,2021-12-20T00:00:00.000Z
13,upcom,MVC,2021-12-20T00:00:00.000Z
133,hose,MWG,2021-12-20T00:00:00.000Z
19.5,upcom,NAB,2021-12-20T00:00:00.000Z
13,hnx,NAG,2021-12-20T00:00:00.000Z
16.3,hnx,NBC,2021-12-20T00:00:00.000Z
19,hnx,NDN,2021-12-20T00:00:00.000Z
30.7,upcom,NDT,2021-12-20T00:00:00.000Z
11.2,hnx,NDX,2021-12-20T00:00:00.000Z
12.5,upcom,NED,2021-12-20T00:00:00.000Z
62.5,hose,NLG,2021-12-20T00:00:00.000Z
30.4,hnx,NRC,2021-12-20T00:00:00.000Z
13.6,hnx,NSH,2021-12-20T00:00:00.000Z
27,hose,NT2,2021-12-20T00:00:00.000Z
59.6,hnx,NTP,2021-12-20T00:00:00.000Z
28.6,hnx,NVB,2021-12-20T00:00:00.000Z
115.3,hose,NVL,2021-12-20T00:00:00.000Z
26.6,hose,OCB,2021-12-20T00:00:00.000Z
10.1,hnx,OCH,2021-12-20T00:00:00.000Z
16.6,upcom,OIL,2021-12-20T00:00:00.000Z
38.95,hose,PAN,2021-12-20T00:00:00.000Z
24,upcom,PAS,2021-12-20T00:00:00.000Z
39.05,hose,PC1,2021-12-20T00:00:00.000Z
9.9,hnx,PCG,2021-12-20T00:00:00.000Z
95.5,hose,PDR,2021-12-20T00:00:00.000Z
8.9,upcom,PFL,2021-12-20T00:00:00.000Z
31,upcom,PGB,2021-12-20T00:00:00.000Z
38.2,upcom,PGV,2021-12-20T00:00:00.000Z
28,hnx,PHP,2021-12-20T00:00:00.000Z
71.2,hose,PHR,2021-12-20T00:00:00.000Z
41,hnx,PLC,2021-12-20T00:00:00.000Z
53,hose,PLX,2021-12-20T00:00:00.000Z
94.2,hose,PNJ,2021-12-20T00:00:00.000Z
14.9,hose,POM,2021-12-20T00:00:00.000Z
18.25,hose,POW,2021-12-20T00:00:00.000Z
23.7,hose,PPC,2021-12-20T00:00:00.000Z
31.2,upcom,PRT,2021-12-20T00:00:00.000Z
31.6,hnx,PSD,2021-12-20T00:00:00.000Z
19.3,hnx,PSI,2021-12-20T00:00:00.000Z
17,hose,PTL,2021-12-20T00:00:00.000Z
8.9,hnx,PV2,2021-12-20T00:00:00.000Z
14.5,hnx,PVC,2021-12-20T00:00:00.000Z
26.75,hose,PVD,2021-12-20T00:00:00.000Z
13.8,hnx,PVG,2021-12-20T00:00:00.000Z
51,hnx,PVI,2021-12-20T00:00:00.000Z
14.3,hnx,PVL,2021-12-20T00:00:00.000Z
23.3,upcom,PVM,2021-12-20T00:00:00.000Z
